Summary Survey Measure,MIPS Measure Description in the Repository,MIPS Measure ID for display in Measure Repository,ACO Measure Description in the Repository,ACO Measure ID for display in Measure Repository
" Getting Timely Care, Appointments, and Information","CAHPS for MIPS SSM: Getting Timely Care, Appointments, and Information",CAHPS_1,"CAHPS for ACO SSM: Getting Timely Care, Appointments, and Information",CAHPS_ACO_1
How Well Providers Communicate,CAHPS for MIPS SSM: How Well Providers Communicate,CAHPS_2,CAHPS for ACO SSM: How Well Providers Communicate,CAHPS_ACO_2
Patient’s Rating of Provider,CAHPS for MIPS SSM: Patient’s Rating of Provider,CAHPS_3,CAHPS for ACO SSM: Patient’s Rating of Provider,CAHPS_ACO_3
Access to Specialists,CAHPS for MIPS SSM: Access to Specialists,CAHPS_4,CAHPS for ACO SSM: Access to Specialists,CAHPS_ACO_4
Health Promotion and Education,CAHPS for MIPS SSM: Health Promotion and Education,CAHPS_5,CAHPS for ACO SSM: Health Promotion and Education,CAHPS_ACO_5
Shared Decision Making,CAHPS for MIPS SSM: Shared Decision Making,CAHPS_6,CAHPS for ACO SSM: Shared Decision Making,CAHPS_ACO_6
Health Status and Functional Status,CAHPS for MIPS SSM: Health Status and Functional Status,CAHPS_7,CAHPS for ACO SSM: Health Status and Functional Status,CAHPS_ACO_7
Care Coordination,CAHPS for MIPS SSM: Care Coordination,CAHPS_8,CAHPS for ACO SSM: Care Coordination,CAHPS_ACO_46
Courteous and Helpful Office Staff,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,CAHPS_9,CAHPS for ACO SSM: Courteous and Helpful Office Staff,CAHPS_ACO_45
Stewardship of Patient Resources,CAHPS for MIPS SSM: Stewardship of Patient Resources,CAHPS_11,CAHPS for ACO SSM: Stewardship of Patient Resources,CAHPS_ACO_34
,,,,
,,,,
,,,,
